epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,30655.5,1.51695,1.65569,0.01251,0.51346,0.55929,0.54355,0.36853,1.37471,1.49297,0.01062,0.00085513,0.00085513,0.00085513
57,31209.6,1.4896,1.62317,0.01255,0.51324,0.56077,0.54334,0.36838,1.37388,1.49133,0.01062,0.000824492,0.000824492,0.000824492
58,31763.5,1.51667,1.66051,0.01235,0.51499,0.55818,0.54271,0.36871,1.37351,1.4906,0.01061,0.000794038,0.000794038,0.000794038
59,32322.2,1.50597,1.6372,0.01231,0.53321,0.54426,0.54484,0.36997,1.37245,1.49047,0.01059,0.000763797,0.000763797,0.000763797
60,32877.5,1.49507,1.61888,0.01234,0.53117,0.54182,0.54558,0.37055,1.37184,1.49,0.01058,0.000733799,0.000733799,0.000733799
61,33432.3,1.49942,1.624,0.01238,0.53365,0.54097,0.54743,0.3716,1.37092,1.48876,0.01056,0.000704073,0.000704073,0.000704073
62,33987.5,1.49444,1.62693,0.0122,0.53798,0.5441,0.5481,0.37228,1.37064,1.4884,0.01056,0.000674649,0.000674649,0.000674649
63,34544.6,1.48251,1.59484,0.01227,0.5345,0.5468,0.54883,0.37253,1.37038,1.48664,0.01056,0.000645557,0.000645557,0.000645557
64,35104,1.47587,1.58705,0.01227,0.52586,0.55417,0.54916,0.37369,1.36879,1.48745,0.01053,0.000616824,0.000616824,0.000616824
65,35664.4,1.48417,1.60363,0.01208,0.52964,0.55245,0.54905,0.37369,1.3683,1.48514,0.01054,0.000588479,0.000588479,0.000588479
66,36218.4,1.48202,1.59465,0.01198,0.58081,0.54653,0.55186,0.3751,1.3676,1.48515,0.01054,0.000560549,0.000560549,0.000560549
67,36774,1.48099,1.61119,0.01219,0.57715,0.54761,0.55231,0.37544,1.36728,1.48355,0.01054,0.000533064,0.000533064,0.000533064
68,37331.1,1.45986,1.55289,0.0119,0.57817,0.548,0.55382,0.37696,1.36586,1.48345,0.01053,0.000506049,0.000506049,0.000506049
69,37889,1.47434,1.5935,0.01193,0.57539,0.55186,0.55439,0.37741,1.36523,1.48231,0.01054,0.000479531,0.000479531,0.000479531
70,38444.9,1.46731,1.5882,0.01183,0.57176,0.55263,0.55433,0.37752,1.364,1.48414,0.01052,0.000453537,0.000453537,0.000453537
71,39005.5,1.47556,1.58749,0.01189,0.58432,0.5482,0.55388,0.37689,1.36395,1.48318,0.01051,0.000428093,0.000428093,0.000428093
72,39561.6,1.45092,1.56109,0.01205,0.57325,0.55056,0.55376,0.37743,1.36289,1.4835,0.01051,0.000403222,0.000403222,0.000403222
73,40120.8,1.45238,1.5564,0.01205,0.58691,0.5491,0.55407,0.37821,1.36399,1.48092,0.01051,0.00037895,0.00037895,0.00037895
74,40677.1,1.45406,1.54413,0.01174,0.58637,0.54854,0.55287,0.37747,1.3635,1.48303,0.01051,0.000355301,0.000355301,0.000355301
