epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,50189.6,1.35339,1.44138,0.00775,0.65782,0.51397,0.51406,0.35914,1.51288,1.67261,0.00498,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115,0.0189935,0.00633115
52,51175.2,1.36217,1.4481,0.00767,0.65436,0.51683,0.51623,0.35964,1.51236,1.67153,0.00499,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
53,52141.7,1.34923,1.43314,0.00759,0.65976,0.51669,0.51882,0.36105,1.50985,1.66995,0.00498,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
54,53124.1,1.34875,1.43251,0.00751,0.65178,0.52096,0.51806,0.36177,1.50992,1.66916,0.00499,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207,0.0178562,0.00595207
55,54110.4,1.34269,1.41881,0.00743,0.65812,0.51956,0.51988,0.36174,1.50927,1.66713,0.00498,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
56,55084.9,1.34316,1.41485,0.00743,0.6437,0.52066,0.51873,0.36211,1.50811,1.6655,0.00496,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961,0.0170883,0.0056961
57,56067.2,1.33217,1.41741,0.00741,0.64999,0.52044,0.52135,0.36474,1.50736,1.66191,0.00495,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
58,57048.3,1.33562,1.40946,0.00728,0.65879,0.51538,0.52095,0.36519,1.50442,1.66164,0.00491,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
59,58023.6,1.32693,1.40415,0.00731,0.67345,0.50811,0.5204,0.36514,1.50502,1.65999,0.0049,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906,0.0159272,0.00530906
60,59003.8,1.32964,1.40163,0.0073,0.66298,0.51442,0.52274,0.36905,1.50494,1.65755,0.00491,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958,0.0155387,0.00517958
61,59975.8,1.32471,1.39614,0.00731,0.65873,0.51533,0.52273,0.36762,1.50362,1.65696,0.0049,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
62,60942.2,1.31586,1.3776,0.00729,0.6609,0.5155,0.5266,0.37009,1.50215,1.65719,0.0049,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042,0.0147613,0.00492042
63,61905.3,1.31837,1.37143,0.00716,0.66091,0.51712,0.53302,0.37033,1.50186,1.65661,0.00491,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094,0.0143728,0.00479094
64,62870,1.31096,1.37262,0.00713,0.65668,0.5171,0.53137,0.3702,1.50177,1.65508,0.00492,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
65,63831.9,1.3115,1.35219,0.00704,0.65542,0.52658,0.53462,0.37347,1.5002,1.65419,0.00492,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
66,64796.4,1.30668,1.35418,0.00708,0.65475,0.52788,0.53619,0.37431,1.49881,1.65195,0.00492,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039,0.0132117,0.0044039
67,65762,1.30187,1.35013,0.00699,0.6525,0.5276,0.53548,0.37521,1.49805,1.65259,0.00492,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
68,66724.2,1.30192,1.35312,0.00706,0.61834,0.52879,0.53369,0.37303,1.4969,1.65204,0.00491,0.0124438,0.00414793,0.0124438,0.00414793,0.0124438,0.00414793,0.0124438,0.00414793
69,67689.2,1.29286,1.3372,0.00685,0.63349,0.52958,0.53787,0.37598,1.4981,1.65044,0.00492,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
70,68659.2,1.28703,1.32223,0.00695,0.63602,0.53363,0.53853,0.37629,1.49777,1.64925,0.00493,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
71,69620.2,1.27699,1.31887,0.00682,0.60797,0.54114,0.53473,0.37628,1.498,1.65038,0.00493,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885,0.0113065,0.00376885
72,70582.4,1.28205,1.31001,0.00673,0.56704,0.55372,0.53795,0.37595,1.49768,1.65141,0.00495,0.0109324,0.00364412,0.0109324,0.00364412,0.0109324,0.00364412,0.0109324,0.00364412
73,71547.7,1.27362,1.30851,0.00671,0.57176,0.55361,0.54034,0.37567,1.49731,1.64947,0.00494,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
74,72517.2,1.26667,1.30576,0.0067,0.52855,0.56008,0.54112,0.37738,1.49647,1.65144,0.00493,0.010193,0.00339766,0.010193,0.00339766,0.010193,0.00339766,0.010193,0.00339766
